ANNEE;COM_FIN;COM_INI;LIB_COM_FIN;LIB_COM_INI;TYPE
2023;01039;01138;BÇon;Culoz-BÇon;F
2023;01138;01138;Culoz;Culoz-BÇon;F
2023;02077;02564;Berzy-le-Sec;Bernoy-le-ChÉteau;F
2023;02564;02564;Noyant-et-Aconin;Bernoy-le-ChÉteau;F
2023;09056;09056;BÇzac;BÇzac;F
2023;09255;09056;Saint-Amans;BÇzac;F
2023;16140;16206;Fontclaireau;Mansle-les-Fontaines;F
2023;16206;16206;Mansle;Mansle-les-Fontaines;F
2023;50015;50272;Annoville;Tourneville-sur-Mer;F
2023;50272;50272;Lingreville;Tourneville-sur-Mer;F
2023;51063;51457;Binson-et-Orquigny;Coeur-de-la-VallÇe;F
2023;51457;51457;Reuil;Coeur-de-la-VallÇe;F
2023;51637;51457;Villers-sous-ChÉtillon;Coeur-de-la-VallÇe;F
2023;71042;71042;Bonnay;Bonnay-Saint-Ythaire;F
2023;71492;71042;Saint-Ythaire;Bonnay-Saint-Ythaire;F
2023;85037;85289;Breuil-Barret;Terval;F
2023;85053;85289;La Chapelle-aux-Lys;Terval;F
2023;85289;85289;La Tardiäre;Terval;F
2022;02054;02054;Bazoches-sur-Vesles;Bazoches-et-Saint-Thibaut;F
2022;02695;02054;Saint-Thibaut;Bazoches-et-Saint-Thibaut;F
2022;16010;16186;Ambleville;Ligniäres-Ambleville;F
2022;16186;16186;Ligniäres-Sonneville;Ligniäres-Ambleville;F
2022;19092;19143;Le Jardin;Montaignac-sur-Doustre;F
2022;19143;19143;Montaignac-Saint-Hippolyte;Montaignac-sur-Doustre;F
2022;24089;24325;Cazouläs;Pechs-de-l?EspÇrance;F
2022;24314;24325;Orliaguet;Pechs-de-l?EspÇrance;F
2022;24325;24325;Peyrillac-et-Millac;Pechs-de-l?EspÇrance;F
2022;25134;25185;ChÉtillon-sur-Lison;Cussey-sur-Lison;F
2022;25185;25185;Cussey-sur-Lison;Cussey-sur-Lison;F
2022;25375;25375;MÇrey-sous-Montrond;Les Monts-Ronds;F
2022;25628;25375;Villers-sous-Montrond;Les Monts-Ronds;F
2022;26216;26216;La Motte-de-Galaure;Saint-Jean-de-Galaure;F
2022;26219;26216;Mureils;Saint-Jean-de-Galaure;F
2022;56049;56213;Croixanvec;Saint-GÇrand-Croixanvec;F
2022;56213;56213;Saint-GÇrand;Saint-GÇrand-Croixanvec;F
2022;85001;85001;L'Aiguillon-sur-Mer;L'Aiguillon-la-Presqu?åle;F
2022;85307;85001;La Faute-sur-Mer;L'Aiguillon-la-Presqu?åle;F
2021;16233;16233;Mosnac;Mosnac-Saint-Simeux;F
2021;16351;16233;Saint-Simeux;Mosnac-Saint-Simeux;F
2021;27676;27058;Les Trois Lacs;Les Trois Lacs;F
2021;53239;53249;Saint-Martin-de-ConnÇe;Vimartin-sur-Orthe;F
2021;53249;53249;Saint-Pierre-sur-Orthe;Vimartin-sur-Orthe;F
2021;53274;53249;VimarcÇ;Vimartin-sur-Orthe;F
2020;21183;21183;Collonges-läs-Premiäres;Collonges-et-Premiäres;F
2020;21507;21183;Premiäres;Collonges-et-Premiäres;F
2020;21213;21452;Crimolois;Neuilly-Crimolois;F
2020;21452;21452;Neuilly-läs-Dijon;Neuilly-Crimolois;F
2020;45287;45307;Saint-Loup-de-Gonois;La Selle-sur-le-Bied;F
2020;45307;45307;La Selle-sur-le-Bied;La Selle-sur-le-Bied;F
